ISO3,Countries and areas,Region,Sub-region,Income Group,Total(%),Rural (Residence)(%),Urban (Residence)(%),Poorest (Wealth quintile)(%),Richest (Wealth quintile)(%)
AGO,Angola,SSA,ESA,Lower middle income (LM),15.0,2.0,22.0,0.0,61.0
ARM,Armenia,ECA,EECA,Upper middle income (UM),81.0,69.0,89.0,46.0,99.0
BGD,Bangladesh,SA,SA,Lower middle income (LM),34.0,30.0,49.0,7.0,75.0
BRB,Barbados,LAC,LAC,High income (H),63.0,54.0,68.0,9.0,97.0
BEN,Benin,SSA,WCA,Low income (L),3.0,1.0,6.0,0.0,14.0
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),51.0,43.0,68.0,3.0,95.0
BRA,Brazil,LAC,LAC,Upper middle income (UM),82.0,49.0,88.0,86.0,100.0
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),73.0,65.0,77.0,24.0,98.0
BFA,Burkina Faso,SSA,WCA,Low income (L),1.0,1.0,3.0,1.0,4.0
CMR,Cameroon,SSA,WCA,Lower middle income (LM),4.0,0.0,9.0,0.0,22.0
CAF,Central African Republic,SSA,WCA,Low income (L),3.0,1.0,8.0,0.0,15.0
TCD,Chad,SSA,WCA,Low income (L),2.0,1.0,8.0,0.0,9.0
CHL,Chile,LAC,LAC,High income (H),86.0,69.0,88.0,71.0,99.0
COL,Colombia,LAC,LAC,Upper middle income (UM),33.0,4.0,45.0,1.0,98.0
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),70.0,61.0,74.0,44.0,99.0
CIV,C™te d'Ivoire,SSA,WCA,Lower middle income (LM),2.0,0.0,5.0,0.0,13.0
CUB,Cuba,LAC,LAC,Upper middle income (UM),5.0,2.0,6.0,16.0,0.0
COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1.0,0.0,2.0,0.0,3.0
DJI,Djibouti,SSA,ESA,Lower middle income (LM),4.0,1.0,8.0,1.0,32.0
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),24.0,9.0,29.0,0.0,78.0
GMB,Gambia,SSA,WCA,Low income (L),64.0,46.0,74.0,25.0,93.0
GEO,Georgia,ECA,EECA,Upper middle income (UM),84.0,70.0,93.0,46.0,99.0
GHA,Ghana,SSA,WCA,Lower middle income (LM),16.0,10.0,25.0,2.0,52.0
GTM,Guatemala,LAC,LAC,Upper middle income (UM),8.0,2.0,16.0,0.0,43.0
GNB,Guinea-Bissau,SSA,WCA,Low income (L),2.0,1.0,4.0,0.0,5.0
HTI,Haiti,LAC,LAC,Low income (L),18.0,10.0,33.0,0.0,60.0
IND,India,SA,SA,Lower middle income (LM),7.0,4.0,14.0,0.0,33.0
IDN,Indonesia,EAP,EAP,Lower middle income (LM),17.0,9.0,24.0,5.0,44.0
IRQ,Iraq,MENA,MENA,Upper middle income (UM),46.0,33.0,53.0,14.0,83.0
JPN,Japan,EAP,EAP,High income (H),75.0,81.0,74.0,62.0,85.0
JOR,Jordan,MENA,MENA,Upper middle income (UM),36.0,33.0,36.0,23.0,72.0
KIR,Kiribati,EAP,EAP,Lower middle income (LM),50.0,32.0,66.0,12.0,86.0
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),72.0,69.0,81.0,53.0,89.0
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),1.0,1.0,4.0,0.0,5.0
LSO,Lesotho,SSA,ESA,Lower middle income (LM),30.0,21.0,50.0,5.0,68.0
MDG,Madagascar,SSA,ESA,Low income (L),9.0,5.0,24.0,0.0,44.0
MDV,Maldives,SA,SA,Upper middle income (UM),70.0,68.0,74.0,49.0,94.0
MLI,Mali,SSA,WCA,Low income (L),5.0,3.0,13.0,0.0,21.0
MRT,Mauritania,SSA,WCA,Lower middle income (LM),3.0,1.0,6.0,0.0,11.0
MNG,Mongolia,EAP,EAP,Lower middle income (LM),37.0,13.0,50.0,2.0,94.0
MNE,Montenegro,ECA,EECA,Upper middle income (UM),80.0,71.0,84.0,43.0,100.0
NAM,Namibia,SSA,ESA,Upper middle income (UM),6.0,1.0,14.0,0.0,32.0
NPL,Nepal,SA,SA,Low income (L),46.0,31.0,54.0,15.0,85.0
PAK,Pakistan,SA,SA,Lower middle income (LM),8.0,4.0,18.0,0.0,45.0
PAN,Panama,LAC,LAC,High income (H),27.0,8.0,40.0,2.0,95.0
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),44.0,37.0,47.0,18.0,75.0
SEN,Senegal,SSA,WCA,Lower middle income (LM),5.0,2.0,9.0,1.0,20.0
SRB,Serbia,ECA,EECA,Upper middle income (UM),95.0,94.0,96.0,71.0,100.0
SLE,Sierra Leone,SSA,WCA,Low income (L),12.0,3.0,24.0,0.0,38.0
SSD,South Sudan,SSA,ESA,Low income (L),0.0,0.0,1.0,0.0,2.0
LKA,Sri Lanka,SA,SA,Upper middle income (UM),67.0,64.0,85.0,70.0,99.0
SDN,Sudan,SSA,ESA,Lower middle income (LM),3.0,1.0,8.0,0.0,17.0
SUR,Suriname,LAC,LAC,Upper middle income (UM),49.0,35.0,56.0,21.0,94.0
TJK,Tajikistan,ECA,EECA,Low income (L),23.0,19.0,37.0,5.0,44.0
THA,Thailand,EAP,EAP,Upper middle income (UM),68.0,65.0,75.0,42.0,95.0
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),91.0,88.0,93.0,67.0,100.0
TGO,Togo,SSA,WCA,Low income (L),20.0,6.0,47.0,0.0,78.0
TON,Tonga,EAP,EAP,Upper middle income (UM),90.0,89.0,94.0,82.0,94.0
TTO,Trinidad and Tobago,LAC,LAC,High income (H),42.0,32.0,51.0,2.0,97.0
TUN,Tunisia,MENA,MENA,Lower middle income (LM),36.0,20.0,44.0,11.0,82.0
TUR,Turkey,ECA,EECA,Upper middle income (UM),33.0,14.0,39.0,2.0,91.0
