ISO3,Countries and areas,Region,Sub-region,Income Group,Total(%),Rural (Residence)(%),Urban (Residence)(%),Poorest (Wealth quintile)(%),Richest (Wealth quintile)(%)
AGO,Angola,SSA,ESA,Lower middle income (LM),24.0,2.0,33.0,0.0,69.0
ARM,Armenia,ECA,EECA,Upper middle income (UM),85.0,78.0,91.0,54.0,100.0
BGD,Bangladesh,SA,SA,Lower middle income (LM),42.0,38.0,57.0,13.0,79.0
BRB,Barbados,LAC,LAC,High income (H),76.0,76.0,76.0,4.0,100.0
BEN,Benin,SSA,WCA,Low income (L),5.0,2.0,10.0,0.0,21.0
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),70.0,65.0,81.0,13.0,98.0
BRA,Brazil,LAC,LAC,Upper middle income (UM),84.0,55.0,90.0,84.0,96.0
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),83.0,83.0,83.0,52.0,94.0
BFA,Burkina Faso,SSA,WCA,Low income (L),2.0,0.0,5.0,0.0,6.0
CMR,Cameroon,SSA,WCA,Lower middle income (LM),7.0,0.0,12.0,0.0,28.0
CAF,Central African Republic,SSA,WCA,Low income (L),6.0,1.0,12.0,0.0,19.0
TCD,Chad,SSA,WCA,Low income (L),3.0,1.0,12.0,0.0,12.0
CHL,Chile,LAC,LAC,High income (H),87.0,72.0,90.0,75.0,98.0
COL,Colombia,LAC,LAC,Upper middle income (UM),43.0,7.0,54.0,2.0,99.0
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),77.0,60.0,86.0,46.0,100.0
CIV,C™te d'Ivoire,SSA,WCA,Lower middle income (LM),3.0,2.0,5.0,0.0,12.0
CUB,Cuba,LAC,LAC,Upper middle income (UM),4.0,1.0,5.0,13.0,0.0
COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1.0,0.0,3.0,0.0,3.0
DJI,Djibouti,SSA,ESA,Lower middle income (LM),9.0,2.0,16.0,2.0,40.0
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),27.0,11.0,32.0,0.0,80.0
GMB,Gambia,SSA,WCA,Low income (L),72.0,51.0,80.0,29.0,94.0
GEO,Georgia,ECA,EECA,Upper middle income (UM),88.0,75.0,96.0,55.0,100.0
GHA,Ghana,SSA,WCA,Lower middle income (LM),20.0,13.0,28.0,3.0,52.0
GTM,Guatemala,LAC,LAC,Upper middle income (UM),12.0,4.0,24.0,0.0,52.0
GNB,Guinea-Bissau,SSA,WCA,Low income (L),3.0,2.0,4.0,0.0,4.0
HTI,Haiti,LAC,LAC,Low income (L),26.0,15.0,41.0,0.0,64.0
IND,India,SA,SA,Lower middle income (LM),12.0,7.0,21.0,1.0,42.0
IDN,Indonesia,EAP,EAP,Lower middle income (LM),23.0,13.0,30.0,8.0,48.0
IRQ,Iraq,MENA,MENA,Upper middle income (UM),56.0,43.0,62.0,15.0,86.0
JPN,Japan,EAP,EAP,High income (H),88.0,88.0,87.0,55.0,94.0
JOR,Jordan,MENA,MENA,Upper middle income (UM),42.0,41.0,42.0,25.0,73.0
KIR,Kiribati,EAP,EAP,Lower middle income (LM),59.0,36.0,77.0,17.0,90.0
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),77.0,72.0,86.0,60.0,93.0
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),2.0,1.0,4.0,0.0,5.0
LSO,Lesotho,SSA,ESA,Lower middle income (LM),38.0,29.0,56.0,8.0,74.0
MDG,Madagascar,SSA,ESA,Low income (L),16.0,10.0,35.0,0.0,54.0
MDV,Maldives,SA,SA,Upper middle income (UM),73.0,70.0,77.0,56.0,96.0
MLI,Mali,SSA,WCA,Low income (L),8.0,4.0,17.0,0.0,27.0
MRT,Mauritania,SSA,WCA,Lower middle income (LM),4.0,1.0,7.0,0.0,13.0
MNG,Mongolia,EAP,EAP,Lower middle income (LM),38.0,10.0,51.0,1.0,95.0
MNE,Montenegro,ECA,EECA,Upper middle income (UM),82.0,76.0,85.0,52.0,100.0
NAM,Namibia,SSA,ESA,Upper middle income (UM),9.0,1.0,17.0,0.0,34.0
NPL,Nepal,SA,SA,Low income (L),49.0,34.0,57.0,18.0,90.0
PAK,Pakistan,SA,SA,Lower middle income (LM),10.0,4.0,22.0,0.0,49.0
PAN,Panama,LAC,LAC,High income (H),38.0,15.0,51.0,8.0,97.0
RUS,Russian Federation,ECA,EECA,Upper middle income (UM),90.0,77.0,96.0,90.0,100.0
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),46.0,37.0,51.0,25.0,70.0
SEN,Senegal,SSA,WCA,Lower middle income (LM),7.0,3.0,12.0,1.0,23.0
SRB,Serbia,ECA,EECA,Upper middle income (UM),95.0,91.0,97.0,74.0,100.0
SLE,Sierra Leone,SSA,WCA,Low income (L),18.0,5.0,29.0,0.0,43.0
SSD,South Sudan,SSA,ESA,Low income (L),1.0,0.0,1.0,0.0,2.0
LKA,Sri Lanka,SA,SA,Upper middle income (UM),73.0,70.0,89.0,74.0,99.0
SDN,Sudan,SSA,ESA,Lower middle income (LM),5.0,2.0,12.0,0.0,21.0
SUR,Suriname,LAC,LAC,Upper middle income (UM),55.0,44.0,59.0,24.0,94.0
TJK,Tajikistan,ECA,EECA,Low income (L),26.0,21.0,42.0,8.0,51.0
THA,Thailand,EAP,EAP,Upper middle income (UM),77.0,73.0,83.0,60.0,97.0
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),93.0,92.0,94.0,75.0,100.0
TGO,Togo,SSA,WCA,Low income (L),31.0,11.0,56.0,0.0,80.0
TON,Tonga,EAP,EAP,Upper middle income (UM),91.0,89.0,96.0,85.0,93.0
TTO,Trinidad and Tobago,LAC,LAC,High income (H),51.0,41.0,60.0,7.0,97.0
TUN,Tunisia,MENA,MENA,Lower middle income (LM),45.0,26.0,54.0,19.0,88.0
TUR,Turkey,ECA,EECA,Upper middle income (UM),40.0,16.0,47.0,2.0,92.0
TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),52.0,43.0,64.0,39.0,84.0
UGA,Uganda,SSA,ESA,Low income (L),1.0,0.0,4.0,0.0,3.0
UZB,  Uzbekistan,ECA,EECA,Lower middle income (LM),22.0,17.0,38.0,0.0,70.0
ZMB,Zambia,SSA,ESA,Lower middle income (LM),7.0,3.0,14.0,0.0,28.0
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),29.0,20.0,51.0,5.0,64.0
